,subject,session,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift
0,3_A02,3,1,188.048200816931,0.6315281313043455,0.5877866649021186,-1.0,-1,0,0.565217391304348,0.0,100.0,0.0,0.06631073999999748,
1,3_A02,3,2,179.056748517813,-0.048995530869564874,0.06161904925559902,-1.0,-1,0,-0.0434782608695652,0.0,100.0,0.0,-0.005517269999999672,0.6315281313043455
2,3_A02,3,3,178.272513834702,-0.004389430281237061,-0.1770674923266169,-1.0,1,1,0.174971469718762,0.0,0.0,0.560938968374687,-0.17936089999999907,-0.048995530869564874
3,3_A02,3,4,199.75205325647,0.1137635075831831,0.11500401040640096,1.0,1,0,0.00430086758318267,12.0487,0.0,0.560938968374687,0.10946264000000043,-0.004389430281237061
4,3_A02,3,5,243.475954055309,0.19794132260869457,0.0012405028232178594,1.0,1,0,0.130434782608696,36.5752,0.0,0.560938968374687,0.06750653999999856,0.1137635075831831
5,3_A02,3,6,266.284925911857,0.08954869922088893,-0.056938877410317446,1.0,1,0,0.0285105392208895,49.3696,0.0,0.560938968374687,0.061038159999999425,0.19794132260869457
6,3_A02,3,7,249.250228630481,-0.06610955943912966,-0.06310596769215593,1.0,1,0,-0.0869565217391304,39.8142,0.0,0.560938968374687,0.020846962300000743,0.08954869922088893
7,3_A02,3,8,282.606220683848,0.12559715622072876,0.0030035917469737328,1.0,1,0,-0.0109415437792743,58.5248,0.0,0.560938968374687,0.13653870000000307,-0.06610955943912966
8,3_A02,3,9,295.197531685453,0.04359024885621565,-0.12259356447375502,1.0,1,0,0.0409871888562178,65.5878,0.0,0.560938968374687,0.002603059999997853,0.12559715622072876
9,3_A02,3,10,331.420454029247,0.11574309195975374,-0.08922277219384167,1.0,1,0,0.0519637119597522,85.9066,0.0,0.560938968374687,0.06377938000000155,0.04359024885621565
10,3_A02,3,11,323.277822848379,-0.024875736973908325,-0.11641246681215023,1.0,1,0,-0.0400437269739072,81.3391,0.0,0.560938968374687,0.015167989999998875,0.11574309195975374
11,3_A02,3,12,317.4918595223,-0.018059907473850778,-0.0747296115218612,1.0,1,0,-0.0648402474738508,78.0936,0.0,0.560938968374687,0.04678034000000002,-0.024875736973908325
12,3_A02,3,13,332.942315755034,0.04751707031002361,0.007868817089560665,1.0,1,0,-0.0886088296899756,86.7603,0.0,0.560938968374687,0.13612589999999922,-0.018059907473850778
13,3_A02,3,14,341.265604657812,0.02469182437442452,-0.00887659455370926,1.0,1,0,0.0524116543744222,91.4292,0.0,0.560938968374687,-0.027719829999997676,0.04751707031002361
14,3_A02,3,15,311.050669123901,-0.09270525125199569,-0.12887859873245855,1.0,-1,1,0.0222237487480047,74.4804,174.480441450617,0.0,-0.11492900000000039,0.02469182437442452
15,3_A02,3,16,301.565326459161,-0.030969157932966063,0.08898979547354369,-1.0,-1,0,-0.0669705679329656,74.4804,174.480441450617,0.0,0.03600140999999954,-0.09270525125199569
16,3_A02,3,17,308.79489717883,0.02369062913043507,0.11995895340650975,-1.0,-1,0,-0.0434782608695652,74.4804,174.480441450617,0.0,0.06716889000000027,-0.030969157932966063
17,3_A02,3,18,388.803301795759,0.230396271489135,0.035643702459639215,-1.0,-1,0,0.101659771489136,74.4804,174.480441450617,0.0,0.12873649999999898,0.02369062913043507
18,3_A02,3,19,364.289639798299,-0.06512429986726964,-0.10514041033980881,-1.0,-1,0,-0.0357321298672699,74.4804,174.480441450617,0.0,-0.02939216999999974,0.230396271489135
19,3_A02,3,20,373.188164972684,0.024133491222501746,-0.04001611047253917,-1.0,-1,0,-0.0278439287775001,74.4804,174.480441450617,0.0,0.05197742000000184,-0.06512429986726964
20,3_A02,3,21,371.426447897358,-0.004731898440003768,-0.06414960169504091,-1.0,1,1,0.0522136315599971,74.4804,0.0,0.469757720373305,-0.05694553000000087,0.024133491222501746
21,3_A02,3,22,304.255592748,-0.19948274395928234,-0.059417703255037146,1.0,1,0,-0.0172908439592805,42.9264,0.0,0.469757720373305,-0.18219190000000185,-0.004731898440003768
22,3_A02,3,23,299.931040420812,-0.014315530810041999,,1.0,1,0,-0.0672657208100438,40.8949,0.0,0.469757720373305,0.0529501900000018,-0.19948274395928234
23,3_A02,3,24,329.974255659479,0.09546205529507557,0.00022989168702913787,1.0,1,0,0.0619826952950753,55.008,0.0,0.469757720373305,0.03347936000000026,-0.014315530810041999
24,3_A02,3,25,335.508209765136,0.016631788086953314,-0.030693642470475346,1.0,1,0,0.0160867780869527,57.6076,0.0,0.469757720373305,0.0005450100000006126,0.09546205529507557
25,3_A02,3,26,381.841945525078,0.12936034146513364,-0.016553771890674973,1.0,1,0,0.0430640014651335,79.3732,0.0,0.469757720373305,0.08629634000000014,0.016631788086953314
26,3_A02,3,27,379.907775380834,-0.005078240917658405,-0.05890273636617849,1.0,1,0,-0.0592500409176577,78.4646,0.0,0.469757720373305,0.05417179999999929,0.12936034146513364
27,3_A02,3,28,384.621589960766,0.012331440823866835,-0.05382449544852008,1.0,1,0,-0.024628879176133,80.679,0.0,0.469757720373305,0.03696031999999984,-0.005078240917658405
28,3_A02,3,29,280.74367950108,-0.3148178872654057,-0.03875696208427293,1.0,1,0,-0.0288843872654068,31.8815,0.0,0.469757720373305,-0.2859334999999989,0.012331440823866835
29,3_A02,3,30,321.446950239121,0.13539044257309563,0.13087891533663498,1.0,1,0,0.156071382573097,51.0022,0.0,0.469757720373305,-0.02068094000000137,-0.3148178872654057
