,session,subject,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift,hatr_shift
12,2,2_C02,1,191.485915827136,0.6496440733333353,0.5007752879124885,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.31481073984003327,0.31481073984003327
13,2,2_C03,1,191.485915827136,0.6496440733333353,,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.5007752879124885,0.5007752879124885
14,2,2_C05,1,191.485915827136,0.6496440733333353,0.4054651081081637,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,,
15,2,2_C06,1,191.485915827136,0.6496440733333353,0.4054651081081637,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.4054651081081637,0.4054651081081637
16,2,2_D01,1,191.485915827136,0.6496440733333353,0.4054651081081637,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.4054651081081637,0.4054651081081637
17,2,2_D02,1,191.485915827136,0.6496440733333353,0.33647223662121206,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.4054651081081637,0.4054651081081637
18,2,2_D03,1,191.485915827136,0.6496440733333353,0.6418538861723944,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.33647223662121206,0.33647223662121206
19,2,2_D04,1,191.485915827136,0.6496440733333353,0.5596157879354227,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.6418538861723944,0.6418538861723944
20,2,2_D05,1,191.485915827136,0.6496440733333353,0.5877866649021186,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.5596157879354227,0.5596157879354227
21,2,2_D06,1,191.485915827136,0.6496440733333353,0.5877866649021186,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.5877866649021186,0.5877866649021186
22,5,5_A02,1,205.748251178524,0.7214831537931055,0.5877866649021186,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5877866649021186,0.5877866649021186
23,5,5_A03,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.5877866649021186,0.5877866649021186
24,5,5_A04,1,205.748251178524,0.7214831537931055,0.4700036292457348,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,,
25,5,5_A05,1,205.748251178524,0.7214831537931055,0.5877866649021186,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4700036292457348,0.4700036292457348
26,5,5_A06,1,205.748251178524,0.7214831537931055,0.13976194237515838,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5877866649021186,0.5877866649021186
27,5,5_A08,1,205.748251178524,0.7214831537931055,0.4054651081081637,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.13976194237515838,0.13976194237515838
